,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape
ART_00292-7,0.00015853199373798622,0.00010458318901912433,0.004344048653344917,0.004608294930875576,0.9158259428722061,0.5667707819606556,0.12698412698412698,0.08421052631578946,3
ART_00293-0,0.0015159621901194935,0.0015728924795016257,0.0017376194613379669,0.1578341013824885,0.9992842520433853,0.4681650667870824,0.20105820105820105,0.05263157894736842,3
ART_00293-1,0.005518895032003646,0.006264353420996242,0.0034752389226759338,0.2569124423963134,0.9966937264387903,0.23329470205455605,0.35449735449735453,0.04736842105263156,0
ART_00294-0,0.00622238075421596,0.0221761951806906,0.36490008688097303,0.002304147465437788,0.39290792369337174,0.9990292268173365,0.9999999999999999,1,0
ART_00294-1,0.0035372451102788183,0.0036883188867154063,0.006081668114682884,0.26036866359447003,0.9982505696353241,0.4101303969126895,0.28042328042328035,0.03157894736842104,3
ART_00294-2,0.0003765134851277173,0.00028086872295360603,0.006081668114682884,0.0771889400921659,0.9981792601175203,0.005753739930955121,0.07407407407407407,0.010526315789473661,0
ART_00294-3,0.012335770762737055,0.013402812306885482,0.00781928757602085,0.26497695852534564,0.9922390193752468,0.27923222094361344,0.33333333333333337,0.0368421052631579,0
ART_00294-4,0.0021599984146800626,0.004758604177773736,0.0017376194613379669,0.26036866359447003,0.9982289743903454,0.2912837290427119,0.6455026455026455,0.5052631578947369,0
ART_00294-5,0.00020807324178110693,0.00011701712166340596,0.004344048653344917,0.021889400921658985,0.9969218602670561,0.2048331415420023,0.037037037037037035,0.010526315789473661,3
ART_00294-6,0.00017834849295523451,8.828092177439953e-05,0.0052128583840139004,0.04377880184331797,0.9963690752488524,0.5402011307349779,0.015873015873015872,0.010526315789473661,2
ART_00294-7,0.015377603392584666,0.017952802725849606,0.6776715899218071,0.021889400921658985,0.22395172962168067,0.9924273835154056,0.44973544973544965,0.06315789473684208,0
ART_00294-8,0.00033688048669322073,0.000835698428502884,0.04083405734144222,0.010368663594470046,0.7203800022305359,0.9865451004691512,0.7671957671957671,0.5947368421052632,0
ART_00294-9,0.0023383469076352975,0.007244699932594269,0.19374456993918332,0.004608294930875576,0.53543246883865,0.9969058726346397,0.9735449735449736,0.8736842105263158,0
ART_00294-10,0.000426054733170838,0.001274339941231708,0.04083405734144222,0,0.2927639383155397,0.997698504027618,0.8518518518518517,0.7789473684210526,0
ART_00294-11,0.00022788974099835523,0.00014326653502355605,0.023457862728062554,0,0.6250691973111902,0.997698504027618,0.06349206349206349,0.01578947368421052,0
ART_00295-0,0.004191189584448011,0.00489054201861028,0.0034752389226759338,0.2557603686635945,0.9990772460024464,0.2372638009098438,0.37037037037037035,0.05263157894736842,0
ART_00295-1,0.0010899074569486553,0.0010825810688954536,0.0017376194613379669,0.12557603686635946,0.9976398989117542,0.4847250712963427,0.15343915343915338,0.04736842105263156,0
ART_00296-0,0.009066048391891087,0.008676812663601194,0.020851433536055602,0.4965437788018433,0.9952987088899202,0.25427277730524833,0.23809523809523803,0.005263157894736803,0
ART_00296-1,0.0146939341695896,0.016805979671625365,0.00781928757602085,0.2638248847926267,0.9914891558990973,0.19172791615625426,0.4391534391534392,0.0421052631578947,0
ART_00296-2,0.002179814913897311,0.005591539510133447,0.0008688097306689834,0.25921658986175117,0.998229251790343,0.20377445339470648,0.7566137566137566,0.6473684210526316,0
ART_00297-0,0.0013772466955987554,0.0026404146744167826,0.013032145960034752,0.018433179723502304,0.9286191292122489,0.8054436772791203,0.6455026455026455,0.45526315789473687,2
ART_00297-1,0.0007530269702554347,0.0006867675463858218,0.0017376194613379669,0.10368663594470046,0.9995274568096499,0.49824546449019014,0.1111111111111111,0.03157894736842104,0
ART_00297-2,0.004181281334839387,0.005318683765995045,0.0034752389226759338,0.2557603686635945,0.9973352668761338,0.24331447759544883,0.40740740740740733,0.08421052631578946,0
ART_00298-0,0.022164754374492203,0.02674925745245022,0.011294526498696784,0.2695852534562212,0.9920994254339227,0.2558735881266624,0.619047619047619,0.06315789473684208,0
